measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,trafficID
RWS01_MONIBAS_0101hrl0067ra,A10 anticlockwise naar Volendam na afrit 15 ri afrit 16 thv hmp 6.7,52.3922,4.9651,negative,A10,5.11,A,7183,700,P1.3,Afrit,44
RWS01_MONIBAS_0101hrl0071ra,A10 anticlockwise naar Volendam na afrit 15 ri afrit 16 thv hmp 7.1,52.389,4.9678,negative,A10,5.11,A,7183,300,P1.3,Afrit,45
RWS01_MONIBAS_0101hrl0074ra,A10 anticlockwise naar Volendam na afrit 14 ri afrit 15 thv hmp 7.5,52.3861,4.97019,negative,A10,5.11,A,7184,1740,P3.1,Tunnel,46
RWS01_MONIBAS_0101hrl0077ra,A10 anticlockwise naar Volendam na afrit 14 ri afrit 15 thv hmp 7.8,52.3836,4.97188,negative,A10,5.11,A,7184,1440,P3.1,Tunnel,47
RWS01_MONIBAS_0101hrl0080ra,A10 anticlockwise naar Volendam na afrit 14 ri afrit 15 thv hmp 8.0,52.3813,4.97305,negative,A10,5.11,A,7184,1171,P3.1,Tunnel,48
RWS01_MONIBAS_0101hrl0085ra,A10 anticlockwise naar Volendam na afrit 14 ri afrit 15 thv hmp 8.5,52.3771,4.9741,negative,A10,5.11,A,7184,700,P3.1,Tunnel,49
RWS01_MONIBAS_0101hrl0087ra,A10 anticlockwise naar Volendam na afrit 14 ri afrit 15 thv hmp 8.7,52.3753,4.97421,negative,A10,5.11,A,7184,500,P3.1,Tunnel,50
RWS01_MONIBAS_0101hrl0088ra,A10 anticlockwise naar Volendam na afrit 14 ri afrit 15 thv hmp 8.9,52.3736,4.97419,negative,A10,5.11,A,7184,310,P3.1,Tunnel,51
RWS01_MONIBAS_0101hrl0090ra,A10 anticlockwise naar Volendam na afrit 14 ri afrit 15 thv hmp 9.0,52.3724,4.97401,negative,A10,5.11,A,7184,180,P3.1,Tunnel,52
RWS01_MONIBAS_0101hrl0092ra,A10 anticlockwise naar Volendam na afrit 14 ri afrit 15 thv hmp 9.2,52.3708,4.97358,negative,A10,5.11,A,7184,0,P3.1,Tunnel,53
RWS01_MONICA_10D00A015C3CD0050005,"A10 anticlockwise naar Volendam na afrit 14 ri afrit 15 thv hmp 8.8, rstr 1",52.3748,4.97422,negative,A10,5.11,A,7184,440,P3.1,Tunnel,54
RWS01_MONIBAS_0101hrl0094ra,A10 anticlockwise naar Volendam na afrit 14 ri afrit 15 thv hmp 9.4,52.3691,4.97305,negative,A10,5.11,A,7185,700,P1.3,Afrit,55
RWS01_MONIBAS_0101hrl0097ra,A10 anticlockwise naar Volendam na afrit 14 ri afrit 15 thv hmp 9.8,52.3658,4.97142,negative,A10,5.11,A,7185,320,P1.3,Afrit,56
RWS01_MONIBAS_0101hrl0101ra,A10 anticlockwise naar Volendam op knppnt Watergraafsmeer ri afrit 14 thv hmp 10.1,52.3629,4.96987,negative,A10,5.11,A,7187,1980,P1.2,Knooppunt (triangle),57
RWS01_MONIBAS_0101hrl0105ra,A10 anticlockwise naar Volendam op knppnt Watergraafsmeer ri afrit 14 thv hmp 10.5,52.3595,4.96798,negative,A10,5.11,A,7187,1570,P1.2,Knooppunt (triangle),58
RWS01_MONIBAS_0101hrl0109ra,A10 anticlockwise naar Volendam op knppnt Watergraafsmeer ri afrit 14 thv hmp 10.9,52.3564,4.96622,negative,A10,5.11,A,7187,1200,P1.2,Knooppunt (triangle),59
RWS01_MONIBAS_0101hrl0112ra,A10 anticlockwise naar Volendam op knppnt Watergraafsmeer ri afrit 14 thv hmp 11.3,52.3533,4.96443,negative,A10,5.11,A,7187,830,P1.2,Knooppunt (triangle),60
RWS01_MONIBAS_0101hrl0115ra,A10 anticlockwise naar Volendam op knppnt Watergraafsmeer ri afrit 14 thv hmp 11.6,52.351,4.96273,negative,A10,5.11,A,7187,550,P1.2,Knooppunt (triangle),61
RWS01_MONIBAS_0101hrl0120ra,A10 anticlockwise naar Volendam op knppnt Watergraafsmeer ri afrit 14 thv hmp 12.1,52.3467,4.95865,negative,A10,5.11,A,7187,15,P1.2,Knooppunt (triangle),62
GEO02_R_RWSTI4249,A10 naar Watergraafsmeer na afrit 13 ri knppnt Watergraafsmeer thv hmp 13.3,52.3384,4.94814,negative,A10,5.11,A,7189,50,P1.3,Afrit,63
RWS01_MONIBAS_0101hrl0124ra,A10 anticlockwise naar Watergraafsmeer na afrit 13 ri knppnt Watergraafsmeer thv hmp 12.5,52.3437,4.95576,negative,A10,5.11,A,7189,825,P1.3,Afrit,64
RWS01_MONIBAS_0101hrl0129ra,A10 anticlockwise naar Watergraafsmeer na afrit 13 ri knppnt Watergraafsmeer thv hmp 13.0,52.3399,4.95146,negative,A10,5.11,A,7189,310,P1.3,Afrit,65
RWS01_MONIBAS_0101hrl0131ra,A10 anticlockwise naar Watergraafsmeer na afrit 13 ri knppnt Watergraafsmeer thv hmp 13.2,52.339,4.94955,negative,A10,5.11,A,7189,145,P1.3,Afrit,66
RWS01_MONIBAS_0101hrl0135ra,A10 anticlockwise naar Watergraafsmeer na afrit 12 ri afrit 13 thv hmp 13.5,52.3376,4.94455,negative,A10,5.11,A,7190,585,P1.3,Afrit,67
RWS01_MONIBAS_0101hrl0138ra,A10 anticlockwise naar Watergraafsmeer na afrit 12 ri afrit 13 thv hmp 13.9,52.3362,4.93976,negative,A10,5.11,A,7190,220,P1.3,Afrit,68
RWS01_MONIBAS_0101hrl0140ra,A10 anticlockwise naar Watergraafsmeer na afrit 12 ri afrit 13 thv hmp 14.0,52.3355,4.93812,negative,A10,5.11,A,7190,80,P1.3,Afrit,69
RWS01_MONIBAS_0101hrl0144ra,A10 anticlockwise naar Watergraafsmeer na afrit 11 ri afrit 12 thv hmp 14.4,52.3337,4.9331,negative,A10,5.11,A,7191,480,P1.3,Afrit,70
RWS01_MONIBAS_0101hrl0147ra,A10 anticlockwise naar Watergraafsmeer na afrit 11 ri afrit 12 thv hmp 14.8,52.3322,4.92853,negative,A10,5.11,A,7191,125,P1.3,Afrit,71
RWS01_MONIBAS_0101hrl0151ra,A10 anticlockwise naar Watergraafsmeer op knppnt Amstel ri afrit 10 thv hmp 15.2,52.3303,4.92323,negative,A10,5.11,A,7194,1510,P1.1,Knooppunt,72
RWS01_MONIBAS_0101hrl0155ra,A10 anticlockwise naar Watergraafsmeer op knppnt Amstel ri afrit 10 thv hmp 15.6,52.3288,4.91824,negative,A10,5.11,A,7194,1130,P1.1,Knooppunt,73
RWS01_MONIBAS_0101hrl0160ra,A10 anticlockwise naar Watergraafsmeer op knppnt Amstel ri afrit 10 thv hmp 16.1,52.3285,4.91079,negative,A10,5.11,A,7194,616,P1.1,Knooppunt,74
RWS01_MONIBAS_0101hrl0166ra,A10 anticlockwise naar Watergraafsmeer op knppnt Amstel ri afrit 10 thv hmp 16.7,52.3303,4.90286,negative,A10,5.11,A,7194,36,P1.1,Knooppunt,75
RWS01_MONIBAS_0101hrl0170ra,A10 anticlockwise naar Watergraafsmeer na afrit 9 ri knppnt Amstel thv hmp 17.0,52.3322,4.8989,negative,A10,5.11,A,7198,790,P1.3,Afrit,76
RWS01_MONIBAS_0101hrl0175ra,A10 anticlockwise naar Watergraafsmeer na afrit 9 ri knppnt Amstel thv hmp 17.6,52.3353,4.89247,negative,A10,5.11,A,7198,239,P1.3,Afrit,77
RWS01_MONIBAS_0101hrl0181ra,A10 anticlockwise naar Watergraafsmeer na afrit 8 ri afrit 9 thv hmp 18.1,52.3381,4.88618,negative,A10,5.11,A,7199,2000,P1.3,Afrit,78
RWS01_MONIBAS_0101hrl0186ra,A10 anticlockwise naar Watergraafsmeer na afrit 8 ri afrit 9 thv hmp 18.7,52.3386,4.87777,negative,A10,5.11,A,7199,1407,P1.3,Afrit,79
RWS01_MONIBAS_0101hrl0191ra,A10 anticlockwise naar Watergraafsmeer na afrit 8 ri afrit 9 thv hmp 19.2,52.3384,4.87125,negative,A10,5.11,A,7199,950,P1.3,Afrit,80
RWS01_MONIBAS_0101hrl0197ra,A10 anticlockwise naar Watergraafsmeer na afrit 8 ri afrit 9 thv hmp 19.7,52.3381,4.86294,negative,A10,5.11,A,7199,370,P1.3,Afrit,81
RWS01_MONIBAS_0101hrl0199ra,A10 anticlockwise naar Watergraafsmeer na afrit 8 ri afrit 9 thv hmp 20.0,52.3378,4.85905,negative,A10,5.11,A,7199,102,P1.3,Afrit,82
RWS01_MONIBAS_0101hrl0205ra,A10 anticlockwise naar Watergraafsmeer op knppnt De Nieuwe Meer ri afrit 8 thv hmp 20.5,52.3374,4.85124,negative,A10,5.11,A,7200,271,P3.2,Brug,83
RWS01_MONIBAS_0101hrl0208ra,A10 anticlockwise naar Watergraafsmeer op knppnt De Nieuwe Meer ri afrit 8 thv hmp 20.9,52.3372,4.84651,negative,A10,5.11,A,7202,450,P1.2,Knooppunt (triangle),84
