measurementSiteReference,index,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,specificLocation,alertCDirectionCoded,speed_id
GEO02_PNHTI508,8C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,143
GEO02_PNHTI508,9C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,144
GEO02_PNHTI508r,10C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,145
GEO02_PNHTI508r,11C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,146
GEO02_PNHTI508r,12C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,147
GEO02_PNHTI508r,19C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,148
GEO02_PNHTI508r,20C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,149
GEO02_PNHTI508r,21C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,150
GEO02_PNHTI508r,22C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,151
GEO02_PNHTI508r,23C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,152
GEO02_PNHTI508r,24C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,153
GEO02_PNHTI508r,7C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,154
GEO02_PNHTI508r,8C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,155
GEO02_PNHTI508r,9C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,156
GEO02_PNHTI512,10C,N202 na afrit A22/A208 ri afslag Spaarnwoude thv hmp 2.2,52.4522,4.67637,10780,positive,157
GEO02_PNHTI512,11C,N202 na afrit A22/A208 ri afslag Spaarnwoude thv hmp 2.2,52.4522,4.67637,10780,positive,158
GEO02_PNHTI512,12C,N202 na afrit A22/A208 ri afslag Spaarnwoude thv hmp 2.2,52.4522,4.67637,10780,positive,159
GEO02_PNHTI512,7C,N202 na afrit A22/A208 ri afslag Spaarnwoude thv hmp 2.2,52.4522,4.67637,10780,positive,160
GEO02_PNHTI512,8C,N202 na afrit A22/A208 ri afslag Spaarnwoude thv hmp 2.2,52.4522,4.67637,10780,positive,161
GEO02_PNHTI512,9C,N202 na afrit A22/A208 ri afslag Spaarnwoude thv hmp 2.2,52.4522,4.67637,10780,positive,162
GEO02_PNHTI512r,10C,N202 na afslag Spaarnwoude ri afrit A22/A208 thv hmp 2.2,52.4522,4.67637,10781,negative,163
GEO02_PNHTI512r,11C,N202 na afslag Spaarnwoude ri afrit A22/A208 thv hmp 2.2,52.4522,4.67637,10781,negative,164
GEO02_PNHTI512r,12C,N202 na afslag Spaarnwoude ri afrit A22/A208 thv hmp 2.2,52.4522,4.67637,10781,negative,165
GEO02_PNHTI512r,7C,N202 na afslag Spaarnwoude ri afrit A22/A208 thv hmp 2.2,52.4522,4.67637,10781,negative,166
GEO02_PNHTI512r,8C,N202 na afslag Spaarnwoude ri afrit A22/A208 thv hmp 2.2,52.4522,4.67637,10781,negative,167
GEO02_PNHTI512r,9C,N202 na afslag Spaarnwoude ri afrit A22/A208 thv hmp 2.2,52.4522,4.67637,10781,negative,168
GEO02_PNHTI513,10C,N202 na aansl Halfweg ri afslag Spaarnwoude thv hmp 7.0,52.4301,4.73391,10784,negative,169
GEO02_PNHTI513,11C,N202 na aansl Halfweg ri afslag Spaarnwoude thv hmp 7.0,52.4301,4.73391,10784,negative,170
GEO02_PNHTI513,12C,N202 na aansl Halfweg ri afslag Spaarnwoude thv hmp 7.0,52.4301,4.73391,10784,negative,171
GEO02_PNHTI513,7C,N202 na aansl Halfweg ri afslag Spaarnwoude thv hmp 7.0,52.4301,4.73391,10784,negative,172
GEO02_PNHTI513,8C,N202 na aansl Halfweg ri afslag Spaarnwoude thv hmp 7.0,52.4301,4.73391,10784,negative,173
GEO02_PNHTI513,9C,N202 na aansl Halfweg ri afslag Spaarnwoude thv hmp 7.0,52.4301,4.73391,10784,negative,174
GEO02_PNHTI513r,10C,N202 na afslag Spaarnwoude ri aansl Halfweg thv hmp 7.0,52.4301,4.73391,10783,positive,175
GEO02_PNHTI513r,11C,N202 na afslag Spaarnwoude ri aansl Halfweg thv hmp 7.0,52.4301,4.73391,10783,positive,176
GEO02_PNHTI513r,12C,N202 na afslag Spaarnwoude ri aansl Halfweg thv hmp 7.0,52.4301,4.73391,10783,positive,177
GEO02_PNHTI513r,7C,N202 na afslag Spaarnwoude ri aansl Halfweg thv hmp 7.0,52.4301,4.73391,10783,positive,178
GEO02_PNHTI513r,8C,N202 na afslag Spaarnwoude ri aansl Halfweg thv hmp 7.0,52.4301,4.73391,10783,positive,179
GEO02_PNHTI513r,9C,N202 na afslag Spaarnwoude ri aansl Halfweg thv hmp 7.0,52.4301,4.73391,10783,positive,180
GEO02_PNHTI518,10C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,181
GEO02_PNHTI518,11C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,182
GEO02_PNHTI518,12C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,183
GEO02_PNHTI518,19C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,184
GEO02_PNHTI518,20C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,185
GEO02_PNHTI518,21C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,186
GEO02_PNHTI518,22C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,187
GEO02_PNHTI518,23C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,188
GEO02_PNHTI518,24C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,189
GEO02_PNHTI518,7C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,190
GEO02_PNHTI518,8C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,191
GEO02_PNHTI518,9C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,192
GEO02_PNHTI518r,10C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,193
GEO02_PNHTI518r,11C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,194
GEO02_PNHTI518r,12C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,195
GEO02_PNHTI518r,19C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,196
GEO02_PNHTI518r,20C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,197
GEO02_PNHTI518r,21C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,198
GEO02_PNHTI518r,22C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,199
GEO02_PNHTI518r,23C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,200
GEO02_PNHTI518r,24C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,201
GEO02_PNHTI518r,7C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,202
GEO02_PNHTI518r,8C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,203
GEO02_PNHTI518r,9C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,204
