date,hour,dataType,dateID
2016-06-11,23,Speed,792
2016-06-12,00,Road,793
2016-06-12,00,Flow,794
2016-06-12,00,Speed,795
2016-06-12,01,Road,796
2016-06-12,01,Flow,797
2016-06-12,01,Speed,798
2016-06-12,02,Road,799
2016-06-12,02,Flow,800
2016-06-12,02,Speed,801
2016-06-12,03,Road,802
2016-06-12,03,Flow,803
2016-06-12,03,Speed,804
2016-06-12,04,Road,805
2016-06-12,04,Flow,806
2016-06-12,04,Speed,807
2016-06-12,05,Road,808
2016-06-12,05,Flow,809
2016-06-12,05,Speed,810
2016-06-12,06,Road,811
2016-06-12,06,Flow,812
2016-06-12,06,Speed,813
2016-06-12,07,Road,814
2016-06-12,07,Flow,815
2016-06-12,07,Speed,816
2016-06-12,08,Road,817
2016-06-12,08,Flow,818
2016-06-12,08,Speed,819
2016-06-12,09,Road,820
2016-06-12,09,Flow,821
2016-06-12,09,Speed,822
2016-06-12,10,Road,823
2016-06-12,10,Flow,824
2016-06-12,10,Speed,825
2016-06-12,11,Road,826
2016-06-12,11,Flow,827
2016-06-12,11,Speed,828
2016-06-12,12,Road,829
2016-06-12,12,Flow,830
2016-06-12,12,Speed,831
2016-06-12,13,Road,832
2016-06-12,13,Flow,833
2016-06-12,13,Speed,834
2016-06-12,14,Road,835
2016-06-12,14,Flow,836
2016-06-12,14,Speed,837
2016-06-12,15,Road,838
2016-06-12,15,Flow,839
2016-06-12,15,Speed,840
2016-06-12,16,Road,841
2016-06-12,16,Flow,842
2016-06-12,16,Speed,843
2016-06-12,17,Road,844
2016-06-12,17,Flow,845
2016-06-12,17,Speed,846
2016-06-12,18,Road,847
2016-06-12,18,Flow,848
2016-06-12,18,Speed,849
2016-06-12,19,Road,850
2016-06-12,19,Flow,851
2016-06-12,19,Speed,852
2016-06-12,20,Road,853
2016-06-12,20,Flow,854
2016-06-12,20,Speed,855
2016-06-12,21,Road,856
2016-06-12,21,Flow,857
2016-06-12,21,Speed,858
2016-06-12,22,Road,859
2016-06-12,22,Flow,860
2016-06-12,22,Speed,861
2016-06-12,23,Road,862
2016-06-12,23,Flow,863
2016-06-12,23,Speed,864
2016-06-13,00,Road,865
2016-06-13,00,Flow,866
2016-06-13,00,Speed,867
2016-06-13,01,Road,868
2016-06-13,01,Flow,869
2016-06-13,01,Speed,870
2016-06-13,02,Road,871
2016-06-13,02,Flow,872
2016-06-13,02,Speed,873
2016-06-13,03,Road,874
2016-06-13,03,Flow,875
2016-06-13,03,Speed,876
2016-06-13,04,Road,877
2016-06-13,04,Flow,878
2016-06-13,04,Speed,879
2016-06-13,05,Road,880
2016-06-13,05,Flow,881
2016-06-13,05,Speed,882
2016-06-13,06,Road,883
2016-06-13,06,Flow,884
2016-06-13,06,Speed,885
2016-06-13,07,Road,886
2016-06-13,07,Flow,887
2016-06-13,07,Speed,888
2016-06-13,08,Road,889
2016-06-13,08,Flow,890
2016-06-13,08,Speed,891
2016-06-13,09,Road,892
2016-06-13,09,Flow,893
2016-06-13,09,Speed,894
2016-06-13,10,Road,895
2016-06-13,10,Flow,896
2016-06-13,10,Speed,897
2016-06-13,11,Road,898
2016-06-13,11,Flow,899
2016-06-13,11,Speed,900
2016-06-13,12,Road,901
2016-06-13,12,Flow,902
2016-06-13,12,Speed,903
2016-06-13,13,Road,904
2016-06-13,13,Flow,905
2016-06-13,13,Speed,906
2016-06-13,14,Road,907
2016-06-13,14,Flow,908
2016-06-13,14,Speed,909
2016-06-13,15,Road,910
2016-06-13,15,Flow,911
2016-06-13,15,Speed,912
2016-06-13,16,Road,913
2016-06-13,16,Flow,914
2016-06-13,16,Speed,915
2016-06-13,17,Road,916
2016-06-13,17,Flow,917
2016-06-13,17,Speed,918
2016-06-13,18,Road,919
2016-06-13,18,Flow,920
2016-06-13,18,Speed,921
2016-06-13,19,Road,922
2016-06-13,19,Flow,923
2016-06-13,19,Speed,924
2016-06-13,20,Road,925
2016-06-13,20,Flow,926
2016-06-13,20,Speed,927
2016-06-13,21,Road,928
2016-06-13,21,Flow,929
2016-06-13,21,Speed,930
2016-06-13,22,Road,931
2016-06-13,22,Flow,932
2016-06-13,22,Speed,933
2016-06-13,23,Road,934
2016-06-13,23,Flow,935
2016-06-13,23,Speed,936
2016-06-14,00,Road,937
2016-06-14,00,Flow,938
2016-06-14,00,Speed,939
2016-06-14,01,Road,940
2016-06-14,01,Flow,941
2016-06-14,01,Speed,942
2016-06-14,02,Road,943
2016-06-14,02,Flow,944
2016-06-14,02,Speed,945
2016-06-14,03,Road,946
2016-06-14,03,Flow,947
2016-06-14,03,Speed,948
2016-06-14,04,Road,949
2016-06-14,04,Flow,950
2016-06-14,04,Speed,951
2016-06-14,05,Road,952
2016-06-14,05,Flow,953
2016-06-14,05,Speed,954
2016-06-14,06,Road,955
2016-06-14,06,Flow,956
2016-06-14,06,Speed,957
2016-06-14,07,Road,958
2016-06-14,07,Flow,959
2016-06-14,07,Speed,960
2016-06-14,08,Road,961
2016-06-14,08,Flow,962
